feature,mean_abs_shap
ip_mismatch,0.49015105
device_changed_24h,0.48099265
rule_night_high,0.46334603
velocity_24h,0.3040706
corridor_risk,0.2969435
log_amount,0.17197669
receiver_country_novelty,0.11909225
receiver_fan_in_24h,0.11529062
inter_arrival_seconds,0.083765276
is_night,0.077746175
amount_zscore_30d,0.07102232
benford_deviation,0.063249074
hour_of_day,0.055471584
rule_corridor_high,0.04734775
velocity_1h,0.03413854
time_since_last_high_value,0.025448572
day_of_week,0.02297064
amount_round_flag,0.014048689
mcc_risk,0.0050470317
is_cross_border,0.000499946
